Index,passenger_name,Born,Died,Age,age_at_death,gender,marital_status,category,ticket_class,job_group,ticket,cabin,embarked,disembarked
293,Rees Eric,1887,1942,25,55,Male,,Crew,,Carpathia Crew,,,,
294,Regan Michael,1887,1964,24,76,Male,Single,Crew,,Carpathia Crew,,,,
295,Reilly John,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
296,Renner John William,1881,1952,31,71,Male,Single,Crew,,Carpathia Crew,,,,
297,Richardson John George,1886,,25,,Male,Married,Crew,,Carpathia Crew,,,,
298,Riddell Alexander Gibson,1892,1977,19,84,Male,Single,Crew,,Carpathia Crew,,,,
299,Rimmer Albert,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
300,Risicato Vittorio,1883,1940,28,57,Male,Single,Crew,,Carpathia Crew,,,,
301,Roberts Arthur Wilfred,1897,,15,,Male,Single,Crew,,Carpathia Crew,,,,
302,Roberts Frederick Alfred,1880,1924,31,43,Male,Single,Crew,,Carpathia Crew,,,,
303,Rogers Francis,1888,,24,,Male,Single,Crew,,Carpathia Crew,,,,
304,Rooney John Gerald,1893,1942,19,49,Male,,Crew,,Carpathia Crew,,,,
305,Rostron Arthur Henry,1869,1940,42,71,Male,Married,Crew,,Carpathia Crew,,,,
306,Rowland Thomas,1893,1971,18,76,Male,Single,Crew,,Carpathia Crew,,,,
307,Roze Raimondo,1892,,20,,Male,,Crew,,Carpathia Crew,,,,
308,Rumen Giuseppe Giorgio,1894,1959,18,65,Male,Single,Crew,,Carpathia Crew,,,,
309,Ryanes Philip,1871,,41,,Male,,Crew,,Carpathia Crew,,,,
310,Salamon Cesare,1889,,23,,Male,,Crew,,Carpathia Crew,,,,
311,Santalesa Matteo Albert,1892,1987,19,94,Male,Single,Crew,,Carpathia Crew,,,,
312,Scott Richard James,1866,1926,46,60,Male,Married,Crew,,Carpathia Crew,,,,
313,Segn n Ignazio,1891,,21,,Male,,Crew,,Carpathia Crew,,,,
314,Seican Matteo,1880,,32,,Male,,Crew,,Carpathia Crew,,,,
315,Serkulj Carlo,1894,,18,,Male,,Crew,,Carpathia Crew,,,,
316,Shackleton John,1873,,39,,Male,,Crew,,Carpathia Crew,,,,
